Date,Hour,TemperatureF,KWH
10/1/16,0,57.9,105.3624102
10/1/16,1,57.9,107.3775855
10/1/16,2,57.9,107.1711786
10/1/16,3,57,105.8553481
10/1/16,4,57,103.5735005
10/1/16,5,57,102.4269914
10/1/16,6,57,101.6212028
10/1/16,7,55.9,211.093752
10/1/16,8,55.9,212.5577091
10/1/16,9,55.9,211.9055062
10/1/16,10,57,210.8753997
10/1/16,11,57.45,210.7026295
10/1/16,12,57.9,209.8317569
10/1/16,13,57.9,208.9877348
10/1/16,14,57,208.7260203
10/1/16,15,55.9,207.4723944
10/1/16,16,55,205.4009269
10/1/16,17,55,204.1408158
10/1/16,18,55.9,204.8382536
10/1/16,19,55.9,203.8524153
10/1/16,20,55,91.59813797
10/1/16,21,55,91.50298679
10/1/16,22,55,89.09745304
10/1/16,23,55,84.46497719
10/2/16,0,55.45,74.15471144
10/2/16,1,54,68.27933408
10/2/16,2,53.1,67.9553242
10/2/16,3,53.1,65.25403821
10/2/16,4,54,68.89009161
10/2/16,5,53.8,74.19584205
10/2/16,6,54,74.94751957
10/2/16,7,54,184.7496484
10/2/16,8,54,183.6836764
10/2/16,9,55,178.9326873
10/2/16,10,55.9,178.2003696
10/2/16,11,55.9,177.0676466
10/2/16,12,55.9,172.5430216
10/2/16,13,56.45,171.7432065
10/2/16,14,55.73333333,169.2958026
10/2/16,15,56.45,169.8493358
10/2/16,16,57,167.6983871
10/2/16,17,55.9,164.0825153
10/2/16,18,57,165.6625282
10/2/16,19,55.9,164.8099692
10/2/16,20,55.9,51.85361389
10/2/16,21,55.9,51.07868018
10/2/16,22,56.45,50.82933512
10/2/16,23,55.9,45.80363288
10/3/16,0,55.9,129.7132976
10/3/16,1,55.9,128.7251284
10/3/16,2,55.9,126.8081512
10/3/16,3,55.9,126.3414765
10/3/16,4,55.9,125.118078
10/3/16,5,57,126.4677169
10/3/16,6,57.45,125.0658532
10/3/16,7,57.9,236.0185856
10/3/16,8,62.1,239.1809121
10/3/16,9,64,244.3187946
10/3/16,10,64,244.3243443
10/3/16,11,64,242.7113753
10/3/16,12,64,242.5300459
10/3/16,13,64,242.5142291
10/3/16,14,64,241.9959604
10/3/16,15,64,242.0121011
10/3/16,16,62.1,239.0652093
10/3/16,17,59,231.6856965
10/3/16,18,59,232.7272815
10/3/16,19,59,229.5079388
10/3/16,20,59.73333333,121.9273843
10/3/16,21,60.1,122.8592768
10/3/16,22,59,119.2116757
10/3/16,23,58.45,119.7743831
10/4/16,0,59,145.2235709
10/4/16,1,59,146.0327704
10/4/16,2,59,148.567123
10/4/16,3,57.9,143.9640586
10/4/16,4,57.9,142.228
10/4/16,5,57.9,139.7227776
10/4/16,6,58.45,139.8543463
10/4/16,7,60.1,257.0661594
10/4/16,8,61,256.3357399
10/4/16,9,62.1,259.8497992
10/4/16,10,62.55,260.2040207
10/4/16,11,62.1,260.0516449
10/4/16,12,61,257.5717026
10/4/16,13,61,256.6350431
10/4/16,14,60.1,256.8198841
10/4/16,15,60.1,256.4655619
10/4/16,16,57.9,252.5831576
10/4/16,17,55.9,249.0996369
10/4/16,18,55,247.9137984
10/4/16,19,55,243.8994516
10/4/16,20,54,128.7213845
10/4/16,21,53.1,128.4712443
10/4/16,22,52,126.9729798
10/4/16,23,51.1,125.4190157
10/5/16,0,50,144.0310821
10/5/16,1,50,146.5367584
10/5/16,2,50,144.5334966
10/5/16,3,50,140.5495748
10/5/16,4,48.9,141.7707261
10/5/16,6,48.9,141.8618929
10/5/16,7,51.1,253.4099804
10/5/16,8,55,256.8161022
10/5/16,9,57.9,258.7061709
10/5/16,10,59,260.0378562
10/5/16,11,59,257.0131186
10/5/16,12,60.1,258.5390185
10/5/16,13,59,257.499437
10/5/16,14,59,257.6301939
10/5/16,15,57.9,252.518928
10/5/16,16,57,250.2034732
10/5/16,17,55.9,247.4358754
10/5/16,18,55,242.8698027
10/5/16,19,55,242.2909325
10/5/16,20,55,130.7771559
10/5/16,21,55,130.0022222
10/5/16,22,54,127.1154102
10/5/16,23,52,123.8921354
10/6/16,0,52,147.1617132
10/6/16,1,51.1,138.7246206
10/6/16,2,50,137.5142722
10/6/16,3,51.1,137.0473651
10/6/16,4,50,141.6756453
10/6/16,5,48.9,139.6878085
10/6/16,6,48.9,140.4631961
10/6/16,7,52,247.8749669
10/6/16,8,55,249.4927102
10/6/16,9,57.9,257.8557993
10/6/16,10,59,254.8414263
10/6/16,11,62.1,259.0148174
10/6/16,12,63,260.5243695
10/6/16,13,64,258.2881009
10/6/16,14,64,257.9052943
10/6/16,15,64,255.947159
10/6/16,16,64,254.7815049
10/6/16,17,63,252.0973323
10/6/16,18,61,249.9480279
10/6/16,19,61,246.3482805
10/6/16,20,60.1,135.3650327
10/6/16,21,59,132.2855862
10/6/16,22,57,130.3317429
10/6/16,23,55.9,127.6328206
10/7/16,0,54,147.2995437
10/7/16,1,55.9,154.1039779
10/7/16,2,54,151.0849404
10/7/16,3,57,145.3395224
10/7/16,4,54,147.3106671
10/7/16,5,54,141.677966
10/7/16,6,54,147.3044536
10/7/16,7,57,261.0395986
10/7/16,8,60.1,262.6744556
10/7/16,9,64,264.3716168
10/7/16,10,64,264.5393705
10/7/16,11,64,264.406795
10/7/16,13,64,265.1289445
10/7/16,14,64,263.7309001
10/7/16,15,64,260.1039954
10/7/16,16,64,256.8259401
10/7/16,17,63,253.1373166
10/7/16,18,63,251.2364355
10/7/16,19,63,252.6978726
10/7/16,20,62.1,140.072259
10/7/16,21,60.1,133.4151646
10/7/16,22,59,131.0405081
10/7/16,23,59,131.8789643
10/8/16,0,57.9,91.98437106
10/8/16,1,55.9,88.91600166
10/8/16,2,54,86.87066916
10/8/16,3,54,84.04199513
10/8/16,4,54,85.80452074
10/8/16,5,52,83.71879614
10/8/16,6,53.1,88.17580298
10/8/16,7,53.1,193.7192936
10/8/16,8,55.9,194.7794868
10/8/16,9,57.9,195.8198766
10/8/16,10,59,195.2001835
10/8/16,11,63,197.7222287
10/8/16,12,64,200.3110502
10/8/16,13,64,197.7531215
10/8/16,14,63.5,196.4418499
10/8/16,15,64,194.0116222
10/8/16,16,64,190.7736795
10/8/16,17,64,193.4906751
10/8/16,18,64,190.1943781
10/8/16,19,64,189.0219488
10/8/16,20,64,77.52574732
10/8/16,21,64,74.08453224
10/8/16,22,64,72.24299623
10/8/16,23,64,69.57532552
10/9/16,0,63,62.25275345
10/9/16,1,63,62.55459937
10/9/16,2,64,63.09978184
10/9/16,3,64,61.28444736
10/9/16,4,63,57.25104409
10/9/16,5,63,58.36812492
10/9/16,6,62,62.39570207
10/9/16,7,59,173.4749949
10/9/16,8,57,180.2245894
10/9/16,9,57,178.3247538
10/9/16,10,55,179.6405293
10/9/16,11,55,177.7989933
10/9/16,12,54,176.8859327
10/9/16,13,54,176.0408651
10/9/16,14,53.1,175.562689
10/9/16,15,52.55,175.4500334
10/9/16,16,52,174.5266051
10/9/16,17,51.4,173.4333523
10/9/16,18,51.1,171.6308584
10/9/16,19,50.55,169.4343994
10/9/16,20,50,57.2667566
10/9/16,21,50,54.08487726
10/9/16,22,50,54.42102849
10/9/16,23,50,50.76694222
10/10/16,0,48.9,137.8498575
10/10/16,1,48.9,136.9428089
10/10/16,2,48.9,136.7457193
10/10/16,3,48.9,134.078771
10/10/16,4,48.9,134.2696471
10/10/16,5,48.9,134.6435772
10/10/16,6,48.9,134.3302202
10/10/16,7,48.9,246.8619713
10/10/16,8,48.9,248.658743
10/10/16,9,50,249.5818898
10/10/16,10,52,248.9704331
10/10/16,11,54,248.5207023
10/10/16,12,55.9,247.739346
10/10/16,13,57,247.0543247
10/10/16,14,57.9,246.5146814
10/10/16,15,57.9,246.0631993
10/10/16,16,57.9,245.6117172
10/10/16,17,55,246.2337829
10/10/16,18,53.1,242.0046942
10/10/16,19,52,241.6250255
10/10/16,20,50,131.0441108
10/10/16,21,48.9,128.6107018
10/10/16,22,48.9,127.1720816
10/10/16,23,48.9,127.80853
10/11/16,0,48.9,149.047154
10/11/16,1,48.9,146.8867113
10/11/16,2,48.9,146.2735034
10/11/16,3,48.9,145.0179372
10/11/16,4,48.9,142.350989
10/11/16,5,48.9,143.4680698
10/11/16,6,48.9,140.8011216
10/11/16,7,48.9,252.7890344
10/11/16,8,48.9,249.2172096
10/11/16,9,54,249.055206
10/11/16,10,55.9,246.543561
10/11/16,11,59,246.0220167
10/11/16,12,57.9,247.1011867
10/11/16,13,57.9,247.5094545
10/11/16,14,57.9,246.1395099
10/11/16,15,57.9,245.3645762
10/11/16,16,57.9,245.772844
10/11/16,17,55.9,246.3527795
10/11/16,18,55,243.8184977
10/11/16,19,54,241.1534325
10/11/16,20,52,124.7912802
10/11/16,21,52,123.2118389
10/11/16,22,51.1,123.3268779
10/11/16,23,52,122.4294453
10/12/16,0,52,143.2087651
10/12/16,1,52,140.7659277
10/12/16,2,52,138.5254442
10/12/16,3,52,135.855833
10/12/16,4,52,134.9482039
10/12/16,5,52,136.1636423
10/12/16,6,52,133.7561258
10/12/16,7,51.1,245.5698216
10/12/16,8,54,247.4052991
10/12/16,9,55.9,248.9721751
10/12/16,10,59,252.7637856
10/12/16,11,60.1,252.4021642
10/12/16,12,61,256.0399855
10/12/16,13,62.1,257.7560956
10/12/16,14,62.1,256.8194361
10/12/16,15,61,253.3189359
