Account,Date,kWh,Month,Day,Year,Hour,Day.of.Week,Weekday,PeakHour,Conditions,Wind_Direction,TemperatureF,Dew_PointF,Humidity,Sea_Level_PressureIn,VisibilityMPH,Wind_SpeedMPH,WindDirDegrees
26908650026,1/1/14,132.369999,1,1,2014,0,3,1,0,Clear,WNW,23,5,46,30.2,10,8.1,290
26908650026,1/1/14,132.719997,1,1,2014,1,3,1,0,Partly Cloudy,WNW,21.9,3.9,46,30.23,10,11.5,290
26908650026,1/1/14,129.029997,1,1,2014,2,3,1,0,Clear,WSW,21.9,3.9,46,30.25,10,12.7,240
26908650026,1/1/14,125.759998,1,1,2014,3,3,1,0,Clear,WSW,21.9,3,44,30.27,10,11.5,250
26908650026,1/1/14,129.389997,1,1,2014,4,3,1,0,Clear,West,21,3,46,30.29,10,9.2,260
26908650026,1/1/14,132.509998,1,1,2014,5,3,1,0,Clear,West,21,3,46,30.3,10,11.5,270
26908650026,1/1/14,134.929996,1,1,2014,6,3,1,0,Scattered Clouds,WSW,21,3.9,48,30.32,10,10.4,250
26908650026,1/1/14,122.809998,1,1,2014,7,3,1,1,Scattered Clouds,SW,19.9,5,52,30.35,10,10.4,230
26908650026,1/1/14,119.959996,1,1,2014,8,3,1,1,Scattered Clouds,West,23,6.1,48,30.37,10,10.4,260
26908650026,1/1/14,123.159999,1,1,2014,9,3,1,1,Scattered Clouds,WNW,24.1,5,44,30.39,10,16.1,300
26908650026,1/1/14,129.109998,1,1,2014,10,3,1,1,Partly Cloudy,West,26.1,5,41,30.35,10,12.7,280
26908650026,1/1/14,125.829996,1,1,2014,11,3,1,1,Mostly Cloudy,West,26.1,5,41,30.34,10,13.8,260
26908650026,1/1/14,120.909997,1,1,2014,12,3,1,1,Scattered Clouds,West,27,5,39,30.33,10,13.8,280
26908650026,1/1/14,125.199997,1,1,2014,13,3,1,1,Mostly Cloudy,WNW,28,3.9,36,30.33,10,8.1,300
26908650026,1/1/14,128.589997,1,1,2014,14,3,1,1,Scattered Clouds,West,27,3.9,37,30.33,10,10.4,270
26908650026,1/1/14,143.169998,1,1,2014,15,3,1,1,Mostly Cloudy,WNW,27,5,39,30.35,10,10.4,290
